userId;gender;age;occupation;zipcode;password
1;F;1;10;48067;password
2;M;56;16;70072;password
3;M;25;15;55117;password
4;M;45;7;2460;password
5;M;25;20;55455;password
6;F;50;9;55117;password
7;M;35;1;6810;password
8;M;25;12;11413;password
9;M;25;17;61614;password
10;F;35;1;95370;password
11;F;25;1;4093;password
12;M;25;12;32793;password
13;M;45;1;93304;password
14;M;35;0;60126;password
15;M;25;7;22903;password
16;F;35;0;20670;password
17;M;50;1;95350;password
18;F;18;3;95825;password
19;M;1;10;48073;password
20;M;25;14;55113;password
21;M;18;16;99353;password
22;M;18;15;53706;password
23;M;35;0;90049;password
24;F;25;7;10023;password
25;M;18;4;1609;password
26;M;25;7;23112;password
27;M;25;11;19130;password
28;F;25;1;14607;password
29;M;35;7;33407;password
30;F;35;7;19143;password
31;M;56;7;6840;password
32;F;25;0;19355;password
33;M;45;3;55421;password
34;F;18;0;2135;password
35;M;45;1;2482;password
36;M;25;3;94123;password
37;F;25;9;66212;password
38;F;18;4;2215;password
39;M;18;4;61820;password
40;M;45;0;10543;password
41;F;18;4;15116;password
42;M;25;8;24502;password
43;M;25;12;60614;password
44;M;45;17;98052;password
45;F;45;16;94110;password
46;M;18;19;75602;password
47;M;18;4;94305;password
48;M;25;4;92107;password
49;M;18;12;77084;password
50;F;25;2;98133;password
51;F;1;10;10562;password
52;M;18;4;72212;password
53;M;25;0;96931;password
54;M;50;1;56723;password
55;F;35;12;55303;password
56;M;35;20;60440;password
57;M;18;19;30350;password
58;M;25;2;30303;password
59;F;50;1;55413;password
60;M;50;1;72118;password
61;M;25;17;95122;password
62;F;35;3;98105;password
63;M;18;4;54902;password
64;M;18;1;53706;password
65;M;35;12;55803;password
66;M;25;18;57706;password
67;F;50;5;60181;password
68;M;18;4;53706;password
69;F;25;1;2143;password
70;M;18;4;53703;password
71;M;25;14;95008;password
72;F;45;0;55122;password
73;M;18;4;53706;password
74;M;35;14;94530;password
75;F;1;10;1748;password
76;M;35;7;55413;password
77;M;18;4;15321;password
78;F;45;1;98029;password
79;F;45;0;98103;password
80;M;56;1;49327;password
81;F;25;0;60640;password
82;M;25;17;48380;password
83;F;25;2;94609;password
84;M;18;4;53140;password
85;M;18;4;94945;password
86;F;1;10;54467;password
87;M;25;14;48360;password
88;F;45;1;2476;password
89;F;56;9;85749;password
90;M;56;13;85749;password
91;M;35;7;7650;password
92;F;18;4;44243;password
93;M;25;17;95825;password
94;M;25;17;28601;password
95;M;45;0;98201;password
96;F;25;16;78028;password
97;F;35;3;66210;password
98;F;35;7;33547;password
99;F;1;10;19390;password
100;M;35;17;95401;password
101;F;18;3;33314;password
102;M;35;19;20871;password
103;M;45;7;92104;password
104;M;25;12;926;password
105;M;45;12;90277;password
106;F;35;11;79101;password
107;M;45;18;63129;password
108;M;25;12;30316;password
109;M;45;15;92028;password
110;M;25;2;90803;password
111;M;35;15;55416;password
112;M;25;16;97209;password
113;M;18;12;37032;password
114;F;25;2;83712;password
115;M;25;17;28083;password
116;M;25;17;55744;password
117;M;25;17;33314;password
118;M;35;17;22315;password
119;F;1;10;77515;password
120;M;25;11;27106;password
121;M;35;7;75229;password
122;F;18;4;94305;password
123;M;35;9;67208;password
124;M;56;7;91356;password
125;M;45;14;1701;password
126;M;18;9;98117;password
127;F;45;3;1770;password
128;M;56;6;37922;password
129;M;25;11;20164;password
130;M;35;17;50021;password
131;M;18;4;6520;password
132;M;25;17;99709;password
133;F;25;0;55071;password
134;M;25;0;66212;password
135;M;18;4;20006;password
136;M;18;2;21202;password
137;F;45;6;78758;password
138;M;18;20;22203;password
139;F;25;20;45409;password
140;F;35;1;55107;password
141;M;35;13;62035;password
142;M;25;7;10011;password
143;M;18;3;64043;password
144;M;25;17;29401;password
145;M;18;4;19081;password
146;F;35;20;10954;password
147;M;18;4;91360;password
148;M;50;17;57747;password
149;M;25;1;29205;password
150;M;35;7;98144;password
151;F;25;20;85013;password
152;M;18;4;48104;password
153;M;1;10;51537;password
154;M;50;20;94530;password
155;M;35;12;7470;password
156;F;45;7;14519;password
157;M;35;16;12866;password
158;M;56;7;28754;password
159;F;45;0;37922;password
160;M;35;7;13021;password
161;M;45;16;98107-2117;password
162;F;18;4;93117;password
163;M;18;4;85013;password
164;F;56;13;94566;password
165;M;18;16;98502;password
166;M;18;4;92802;password
167;F;25;11;10022;password
168;F;50;0;46970;password
169;M;25;7;55439;password
170;M;25;11;7002;password
171;F;50;17;55441;password
172;M;25;3;7661;password
173;M;25;0;45237;password
174;M;25;16;21203;password
175;F;25;2;95123;password
176;F;18;3;55016;password
177;M;50;1;54016;password
178;M;56;17;53705;password
179;M;25;0;2135;password
180;M;45;12;1603;password
181;M;18;17;33186;password
182;M;18;4;3052;password
183;F;45;1;55407;password
184;F;25;0;19001;password
185;M;45;0;14468;password
186;M;18;5;91767;password
187;F;45;1;94061;password
188;M;56;16;79930;password
189;M;18;0;60076;password
190;M;25;17;55125;password
191;M;18;4;4915;password
192;M;18;1;10977;password
193;F;45;15;44106;password
194;F;1;10;29146;password
195;M;25;12;10458;password
196;F;35;9;94587;password
197;M;18;14;10023;password
198;M;25;12;55108;password
199;M;18;4;83706;password
200;F;18;4;84321;password
201;F;35;2;55117;password
202;M;18;4;53706;password
203;F;18;4;53715;password
204;M;25;7;92123;password
205;M;35;12;97333;password
206;M;25;17;20194;password
207;M;25;12;94115;password
208;M;35;17;55432;password
209;M;35;1;90048;password
210;F;1;10;25801;password
211;M;45;17;90620;password
212;M;25;16;53714;password
213;F;18;4;1609;password
214;M;18;20;80218;password
215;M;35;14;92075;password
216;M;45;13;52761;password
217;M;18;4;22903;password
218;M;35;14;95822;password
219;F;25;4;55113;password
220;M;25;12;22903;password
221;F;25;0;94063;password
222;M;25;1;55116;password
223;M;25;17;28262;password
224;F;18;4;14850;password
225;M;25;7;11215;password
226;M;35;1;94518;password
227;M;35;20;90291;password
